procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 2046256   2168 821132    0    0    74  1586 5102 7636 15  3 72  9  0
 0  0      0 2046256   2168 821096    0    0     0   952 6860 9428 12  3 79  6  0
 0  0      0 2046256   2168 821096    0    0     0  1540 10372 16292 16  3 71 11  0
 3  1      0 2046256   2168 821096    0    0     0  2600 15203 23172 20  5 58 17  0
 0  0      0 2046256   2168 821096    0    0     0  2040 10559 16629 15  4 69 12  0
 2  1      0 2046256   2168 821096    0    0     0  3040 13624 20740 22  3 59 16  0
 0  0      0 2046256   2168 821096    0    0     0  2424 9056 13584 14  3 70 13  0
 0  0      0 2046256   2168 821096    0    0     0  7584 13673 20877 22  4 59 16  0
 0  0      0 2046256   2168 821096    0    0     0  1724 10975 17215 13  4 70 13  0
 1  1      0 2046256   2168 821096    0    0     0  2192 13099 19840 21  4 60 16  0
 0  0      0 2046256   2168 821096    0    0     0  1928 12443 19201 21  3 63 13  0
 0  0      0 2046256   2168 821096    0    0     0  2012 10061 14411 17  4 63 16  0
 0  0      0 2046256   2168 821096    0    0     0  1984 13453 20491 18  3 64 14  0
 0  0      0 2046256   2168 821096    0    0     0  1984 11855 18425 16  6 66 12  0
 0  0      0 2045528   2168 821096    0    0     0  2716 13517 20522 31  3 51 15  0
 0  0      0 2045024   2168 821104    0    0     0  2296 11199 17636 15  5 67 13  0
 1  1      0 2044268   2168 821104    0    0     0  3304 13791 21121 19  7 58 15  0
 0  1      0 2044016   2168 821104    0    0     0  1340 7214 10653 13  3 74 11  0
 3  0      0 2043764   2168 821104    0    0     0  2336 13579 20520 26  2 55 17  0
 3  0      0 2043512   2168 821104    0    0     0  1692 11551 18192 16  5 68 12  0
 1  1      0 2043512   2168 821104    0    0     0  1956 13076 20244 23  4 60 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2043260   2168 821104    0    0     0  1980 12610 19503 23  2 62 13  0
 3  0      0 2043008   2168 821104    0    0     0  1860 12216 19218 17  5 65 14  0
 0  0      0 2042504   2168 821104    0    0     0  2408 12674 19142 20  3 61 16  0
 2  1      0 2042000   2168 821104    0    0     0  1936 10169 15985 14  1 74 11  0
 0  0      0 2041496   2168 821104    0    0     0  2764 13809 21122 23  4 59 15  0
 0  1      0 2041244   2168 821104    0    0     0  2804 10472 15666 15  3 68 14  0
 2  0      0 2040992   2168 821104    0    0     0  2180 12776 18941 26  4 55 15  0
 0  0      0 2040740   2168 821108    0    0     0  1652 11275 17665 14  4 70 12  0
 3  1      0 2040488   2168 821108    0    0     0  2552 13953 20825 18  2 61 20  0
 0  0      0 2040488   2168 821108    0    0     0  1556 8377 12378 13  1 73 13  0
 0  0      0 2040236   2168 821108    0    0     0  2376 12016 17086 18  6 57 18  0
 0  0      0 2039984   2168 821108    0    0     0  1516 10098 15645 22  2 65 10  0
 2  0      0 2039480   2168 821108    0    0     0  2684 13413 19875 20  3 58 19  0
 0  1      0 2039228   2168 821108    0    0     0  1952 9566 14623 15  3 70 12  0
 0  0      0 2037968   2168 821108    0    0     0  3128 14510 22054 22  3 59 16  0
 0  1      0 2037212   2168 821108    0    0     0  2432 10318 15721 17  4 68 11  0
 0  0      0 2036960   2168 821108    0    0     0  2136 13717 21019 18  4 63 15  0
 1  0      0 2036708   2168 821108    0    0     0  1940 11315 17270 17  3 66 14  0
 2  1      0 2036456   2168 821108    0    0     0  1904 9395 13493 20  2 63 15  0
 0  0      0 2036204   2168 821108    0    0     0  2180 13015 19617 20  4 60 16  0
 2  1      0 2035952   2168 821112    0    0     0  1768 11756 18437 20  2 66 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 2035952   2168 821116    0    0     0  2392 14668 22601 20  4 59 17  0
 0  0      0 2035448   2168 821116    0    0     0  1748 10620 16724 15  4 70 11  0
 2  0      0 2034944   2168 821120    0    0     0  2808 14979 23134 28  6 51 15  0
 2  0      0 2034188   2168 821120    0    0     0  2388 7687 11117 15  1 70 14  0
 1  1      0 2032676   2168 821120    0    0     0  2024 8414 13339 12  2 78  9  0
 3  0      0 2032424   2168 821120    0    0     0  1308 7808 11813  9  3 77 11  0
