procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 259412    840 714272    0    0    55  3166 4423  920 12  3 69 16  0
 1  0      0 174160    840 714580    0    0   260 17872 3485 3050 66  2 16 16  0
 1  1      0 156168    840 721792    0    0     0 33132 4808 1768 76  5 15  4  0
 2  0      0 123840    840 720512    0    0     0 46316 7760 2068 77 12  3  8  0
 2  0      0 128416    840 712156    0    0     0 26764 3789 2119 73  4 16  7  0
 1  0      0 219288    840 712160    0    0     0 20396 2205 2510 54  6 36  5  0
 2  0      0 266704    840 723652    0    0     0 40468 23973 1875 79 10  5  6  0
 2  0      0 116768    840 719636    0    0     0 34964 5424 1353 84  7  2  7  0
 1  0      0 136220    840 710908    0    0     0 29308 2578 1757 68  3 22  6  0
 2  0      0 202412    840 717988    0    0     0 33812 3536 2508 73  8 16  5  0
 3  0      0 120220    840 715564    0    0     0 47220 9601 2985 80 10  2  8  0
 2  0      0 160020    840 722704    0    0     0 14180 9616 1959 79  4 10  7  0
 1  0      0 143332    840 707848    0    0     0 30732 2235 2442 60  3 33  4  0
 2  0      0 162736    840 714520    0    0     0 27460 2791 2188 66  5 24  5  0
 2  0      0 233740    840 647548    0    0     0 45256 7031 2641 78 11  4  7  0
 1  0      0 260464    840 642240    0    0     0 26048 3531 2116 63  3 30  5  0
 2  0      0 270180    840 650124    0    0     0 24968 1861 1540 65  4 24  6  0
 2  0      0 299928    840 650304    0    0     0 44676 9664 2854 78 11  3  7  0
 1  0      0 291864    840 642704    0    0     0 29264 3142 1773 75  4 16  5  0
 1  0      0 286924    840 641156    0    0     0 16056 2288 2458 54  4 38  5  0
 3  0      0 286168    840 658416    0    0     0 32684 3822 1259 79  6 10  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 292932    840 647348    0    0     0 50540 9339 2279 81 11  3  6  0
 2  0      0 308532    840 640584    0    0     0 15852 2025 2070 56  4 38  4  0
 1  1      0 326300    840 657196    0    0     0 36900 4165 1780 80  6  9  6  0
 2  0      0 322480    840 656944    0    0     0 47640 8037 2113 79 11  3  7  0
 2  0      0 310800    840 638568    0    0     0 30576 3796 2269 79  3 12  7  0
 2  0      0 296684    840 647152    0    0     0 25052 2694 2833 66  7 20  8  0
 2  0      0 296160    840 652824    0    0     0 46876 9088 2687 75 13  3  8  0
 2  0      0 312660    840 637448    0    0     0 32824 5082 1292 79  7  7  8  0
 1  0      0 272228    840 635912    0    0     0 15768 2148 2514 55  2 40  3  0
 2  0      0 269316    840 653092    0    0     0 33152 4027 1957 74  3 18  5  0
 2  0      0 266068    840 641132    0    0     0 43212 6895 2540 79 12  3  6  0
 1  0      0 239924    840 623252    0    0     0 24428 2553 2056 60  4 31  6  0
 0  0      0 224608    840 624564    0    0     0  4000 3604 4751 37  1 53  9  0
 3  0      0 537700    840 632256    0    0     0  9288 4216 4672 33  1 60  6  0
 2  0      0 606112    840 637788    0    0     0  9216 3752 5232 33  2 56  9  0
 1  1      0 674128    840 637824    0    0    40  1556 3330 1302 59  3 28 11  0
 1  1      0 674128    840 638224    0    0   388  1360 1603 1599 58  1 29 12  0
 1  0      0 674128    840 638868    0    0   484  2020 1900 2016 52  1 32 15  0
 0  0      0 628324    840 643400    0    0   452  1440 2492 3182 53  4 30 13  0
 0  0      0 522096    840 665056    0    0   428 27060 4827 6758 30  5 49 16  0
 2  0      0 451192    840 668040    0    0  2848 10408 1754 1828 61  4 22 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 382712    840 698472    0    0     0 38220 4374 2167 87  5  1  7  0
 1  0      0 514900    840 684032    0    0     0 49856 8019 2461 75  9  7  8  0
 2  0      0 455596    840 660272    0    0     0 16800 3123 2518 60  6 28  8  0
 2  0      0 514372    840 675912    0    0     0 38252 3590 1889 85  5  5  6  0
 1  0      0 451716    840 664972    0    0     0 39752 6304 2739 72  8 14  8  0
 1  0      0 375212    840 663376    0    0     0 15588 2367 2684 56  4 35  5  0
 2  0      0 327444    840 665892    0    0     0 26140 1797 1809 58  2 34  6  0
 2  0      0 351084    840 682900    0    0     0 38792 6842 1179 84 10  1  5  0
 3  0      0 363536    840 664176    0    0     0 33632 4856 2277 66  7 24  4  0
 1  0      0 367252    840 662608    0    0     0 16388 2625 2454 62  5 28  6  0
 2  1      0 489372    840 687976    0    0     0 41452 6544 2650 80 11  4  5  0
 2  0      0 375452    840 693164    0    0     0 45380 7754 1666 80 10  4  6  0
 2  0      0 344504    840 661576    0    0     0 22208 2929 2239 70  4 21  5  0
 1  0      0 321908    840 661584    0    0     0 17212 1784 1611 54  5 34  7  0
 2  0      0 307880    840 683276    0    0     0 42604 5038 1791 85  7  4  5  0
 2  0      0 283044    840 669876    0    0     0 43404 9650 1929 81 12  2  4  0
 1  0      0 319128    840 657716    0    0     0 26272 5360 2189 65 10 21  4  0
 2  0      0 294576    840 672948    0    0     0 34972 3826 2341 73  7 15  5  0
 2  0      0 265764    840 665212    0    0     0 42812 7453 1827 84 10  3  5  0
 2  2      0 258424    840 662924    0    0  4808 25644 9592 11007 66  8 14 12  0
 1  1      0 233728    840 668440    0    0  5364 16036 14219 22942 64  6  2 28  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 129736    840 684704    0    0  2964 32056 7610 10534 75  6  3 16  0
 2  0      0 111672    840 616400    0    0  1028 46268 6905 2559 75 11  3 11  0
 3  0      0 111808    840 583788    0    0   856 26256 5049 4386 65  6 21  9  0
 2  0      0 163732    840 514188    0    0   872 27256 3642 3334 68  7 15 11  0
 3  0      0 150128    840 539252    0    0  1472 33944 6277 3742 75  8  3 14  0
 2  0      0 218828    840 539792    0    0  1788 36292 4798 4853 70  4 12 13  0
 1  0      0 163984    840 546872    0    0  1464 15472 3837 4425 60  5 25 10  0
 2  0      0 113556    840 568660    0    0  1512 35132 3197 3942 62  3 25 11  0
 1  1      0 113044    840 590964    0    0  1152 28864 5024 3201 82  7  1 11  0
 2  0      0 103928    840 544856    0    0  1040 42464 7696 3542 76 11  2 10  0
 1  1      0 118388    840 471020    0    0  1160 20820 4269 4617 59  3 24 14  0
 1  1      0 128828    840 476108    0    0  4060 30744 3345 2985 75  3  9 13  0
 1  1      0 193940    840 491156    0    0  3784 48448 7474 6954 79  9  2 10  0
 3  1      0 225228    840 486592    0    0  5796 17156 6480 4795 72  8  7 12  0
 1  1      0 231280    840 506416    0    0  5032 16020 6752 9098 56  8 23 14  0
 2  0      0 187300    840 520496    0    0  5884 15428 6673 7016 63  9 16 12  0
 2  0      0 199960    840 552712    0    0  4040 44088 5240 4408 74 10  3 12  0
 1  1      0 264560    840 544628    0    0  6260 38616 5441 4170 81  6  1 12  0
 1  0      0 267472    840 554796    0    0  5432 17920 5119 6099 62  5 18 14  0
 2  0      0 226340    840 581472    0    0  4928 29704 4115 3675 73  9  7 12  0
 2  0      0 488404    840 545904    0    0  5680 47240 9512 4377 75 10  3 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 502560    840 553424    0    0    40 36176 9267 1626 84 11  1  4  0
 1  0      0 476616    840 533184    0    0    36 30376 5339 2246 69 10 17  5  0
 2  0      0 464288    840 538420    0    0   256 34144 1989 2088 59  4 30  7  0
 1  0      0 413700    840 555704    0    0  1560 32164 7637 2327 81 13  2  5  0
 1  0      0 464664    840 535876    0    0    12 25128 31069 2274 70 13 11  5  0
 2  0      0 438024    840 541072    0    0    16 36016 2321 2381 63  3 28  7  0
 1  0      0 397604    840 547028    0    0    20 40508 8425 2649 79 12  2  7  0
 2  0      0 435952    840 547084    0    0  1588 39144 8576 1932 78 10  5  7  0
 1  0      0 477180    840 537328    0    0    12 15912 2812 2573 60  3 32  4  0
 2  0      0 494056    840 543888    0    0  1564 38688 2358 1941 63  7 26  4  0
 1  1      0 425352    840 560628    0    0    32 30612 7555 1631 84  8  1  6  0
 2  0      0 422092    840 539300    0    0     0 38280 4663 2030 78  7 10  6  0
 3  0      0 405904    840 539740    0    0    28 24052 2776 3013 56  2 35  7  0
 1  1      0 373408    840 564700    0    0    24 33648 6246 2701 88  5  1  5  0
 2  0      0 360084    840 559296    0    0     8 45852 11975 2125 79 14  3  5  0
 0  0      0 367400    840 538748    0    0   472 20128 6212 4152 53  6 34  8  0
 1  0      0 632596    840 546152    0    0     0  8072 4715 6745 28  4 57 12  0
 1  1      0 786452    840 552420    0    0     0  7448 5611 7603 24  3 64  9  0
 2  0      0 785444    840 553572    0    0     4  4192 1929 1602 52  2 33 14  0
 1  0      0 845864    840 553572    0    0     0  1448 2856 1222 60  1 31  9  0
 1  0      0 877536    840 553580    0    0     8  2400 2014 1510 62  0 24 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 877536    840 553584    0    0     0  2756 1366 1170 54  1 37  9  0
 2  0      0 646560    840 571816    0    0     0  1708 4952 7101 38  7 43 12  0
 1  0      0 748516    840 577492    0    0     0 27340 2993 3704 48  2 38 12  0
 2  0      0 614440    840 581148    0    0    12 32988 1647 1541 61  7 26  5  0
 2  0      0 549468    840 584660    0    0     0 32976 6120 2325 80 11  2  8  0
 1  0      0 538036    840 579512    0    0     0 32008 3478 1420 71  5 19  5  0
 2  0      0 497016    840 579516    0    0     0 31268 2111 2005 56  3 33  8  0
 2  0      0 501408    840 590280    0    0     0 26404 2121 1582 75  3 18  5  0
 2  0      0 547508    840 610592    0    0     0 35144 9866 2825 79 13  2  7  0
 2  0      0 504924    840 577588    0    0     0 27092 3743 2191 64  5 25  6  0
 2  0      0 505664    840 584096    0    0     0 38204 2541 1849 67  4 25  4  0
 2  0      0 476580    840 590996    0    0     0 42856 9035 2445 81 10  3  6  0
 1  0      0 456680    840 589976    0    0     0 30564 5526 2047 79  8  7  6  0
 1  1      0 385644    840 578460    0    0     0 15924 2047 1893 60  5 29  6  0
 3  0      0 352888    840 584848    0    0     0 37260 1722 1636 64  3 28  5  0
 2  0      0 249416    840 608808    0    0     0 36964 7913 1968 81 10  2  7  0
 1  0      0 329992    840 574628    0    0     0 40096 6851 1973 77 11  5  8  0
