Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-75-74.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:44:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:44:01     all   78.79    0.00    6.57    8.08    0.00    0.00    0.00    0.00    0.00    6.57
14:44:02     all   80.61    0.00    9.18    6.12    0.00    1.53    0.00    0.00    0.00    2.55
14:44:03     all   57.43    0.00    4.95    4.46    0.00    0.50    0.00    0.00    0.00   32.67
14:44:04     all   59.20    0.00    2.49    2.99    0.00    0.50    0.00    0.00    0.00   34.83
14:44:05     all   80.83    0.00    8.29    5.18    0.00    0.00    0.00    0.00    0.00    5.70
14:44:06     all   82.56    0.00    8.72    5.13    0.00    0.00    0.00    0.00    0.00    3.59
14:44:07     all   60.80    0.00    4.02    3.52    0.00    0.00    0.00    0.00    0.00   31.66
14:44:08     all   60.71    0.00    1.02    3.06    0.00    0.51    0.00    0.00    0.00   34.69
14:44:09     all   79.80    0.00   10.84    6.90    0.00    0.00    0.00    0.00    0.00    2.46
14:44:10     all   85.57    0.00    9.45    3.48    0.00    0.50    0.00    0.00    0.00    1.00
14:44:11     all   60.70    0.00    5.97    3.48    0.00    0.00    0.00    0.00    0.00   29.85
14:44:12     all   82.59    0.00    8.46    5.47    0.00    0.50    0.00    0.00    0.00    2.99
14:44:13     all   72.00    0.00   10.50    7.00    0.00    0.50    0.00    0.00    0.00   10.00
14:44:14     all   55.39    0.00    2.45    2.94    0.00    0.49    0.00    0.00    0.00   38.73
14:44:15     all   64.14    0.00    3.03    3.54    0.00    0.00    0.00    0.00    0.00   29.29
14:44:16     all   75.25    0.00   14.36    6.44    0.00    0.00    0.00    0.00    0.00    3.96
14:44:17     all   82.13    0.00    9.66    7.25    0.00    0.00    0.00    0.00    0.00    0.97
14:44:18     all   65.83    0.00    3.52    4.52    0.00    0.00    0.00    0.00    0.00   26.13
14:44:19     all   63.27    0.00    2.55    2.55    0.00    0.00    0.00    0.00    0.00   31.63
14:44:20     all   78.71    0.00   11.39    6.44    0.00    0.00    0.00    0.00    0.00    3.47
14:44:21     all   81.82    0.00    3.03    5.05    0.00    0.00    0.00    0.00    0.00   10.10
14:44:22     all   63.00    0.00    3.50    2.50    0.00    0.00    0.00    0.00    0.00   31.00
14:44:23     all   83.33    0.00    9.09    5.05    0.00    0.00    0.00    0.00    0.00    2.53
14:44:24     all   77.27    0.00    8.08    6.57    0.00    0.00    0.00    0.00    0.00    8.08
14:44:25     all   63.18    0.00    4.98    3.98    0.00    0.00    0.00    0.00    0.00   27.86
14:44:26     all   62.94    0.00    4.06    3.55    0.00    0.00    0.00    0.00    0.00   29.44
14:44:27     all   77.07    0.00   13.66    5.85    0.00    0.00    0.00    0.00    0.00    3.41
14:44:28     all   50.76    0.00    5.08    5.08    0.00    1.02    0.00    0.00    0.00   38.07
14:44:29     all   34.34    0.00    1.01    6.06    0.00    0.00    0.00    0.00    0.00   58.59
14:44:30     all   26.40    0.00    5.08    5.58    0.00    0.00    0.00    0.00    0.00   62.94
14:44:31     all   49.27    0.00    1.46    8.29    0.00    0.98    0.00    0.00    0.00   40.00
14:44:32     all   51.76    0.00    0.50    5.53    0.00    0.00    0.00    0.00    0.00   42.21
14:44:33     all   59.50    0.00    0.00    7.50    0.00    0.00    0.00    0.00    0.00   33.00
14:44:34     all   58.91    0.00    0.99    6.44    0.00    0.50    0.00    0.00    0.00   33.17
14:44:35     all   47.29    0.00    4.43    6.40    0.00    0.00    0.00    0.00    0.00   41.87
14:44:36     all   33.50    0.00    6.60   10.15    0.00    0.51    0.00    0.00    0.00   49.24
14:44:37     all   54.68    0.00    2.46    4.93    0.00    0.49    0.00    0.00    0.00   37.44
14:44:38     all   74.26    0.00    4.46    3.47    0.00    0.00    0.00    0.00    0.00   17.82
14:44:39     all   85.57    0.00    7.96    5.47    0.00    0.00    0.00    0.00    0.00    1.00
14:44:40     all   79.90    0.00   10.55    7.04    0.00    0.00    0.00    0.00    0.00    2.51
14:44:41     all   62.31    0.00    4.02    3.02    0.00    0.50    0.00    0.00    0.00   30.15
14:44:42     all   66.16    0.00    3.03    3.54    0.00    0.00    0.00    0.00    0.00   27.27
14:44:43     all   80.90    0.00    8.54    7.04    0.00    0.00    0.00    0.00    0.00    3.52
14:44:44     all   71.64    0.00    2.49    4.48    0.00    1.00    0.00    0.00    0.00   20.40
14:44:45     all   63.18    0.00    6.97    3.48    0.00    0.00    0.00    0.00    0.00   26.37
