Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-65-7.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:50:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:50:47     all   40.53    0.00    4.21   32.11    0.00    1.58    0.00    0.00    0.00   21.58
14:50:48     all   85.94    0.00    2.60    9.38    0.00    2.08    0.00    0.00    0.00    0.00
14:50:49     all   81.82    0.00    3.54   13.64    0.00    1.01    0.00    0.00    0.00    0.00
14:50:50     all   82.35    0.00    4.90   10.78    0.00    1.96    0.00    0.00    0.00    0.00
14:50:51     all   84.50    0.00    5.00    9.00    0.00    0.50    0.00    0.00    0.00    1.00
14:50:52     all   81.19    0.00    1.49   15.35    0.00    1.98    0.00    0.00    0.00    0.00
14:50:53     all   83.08    0.00    3.59   10.77    0.00    2.56    0.00    0.00    0.00    0.00
14:50:54     all   78.00    0.00   13.00    7.00    0.00    0.50    0.00    0.00    0.00    1.50
14:50:55     all   83.08    0.00   10.45    5.47    0.00    0.00    0.00    0.00    0.00    1.00
14:50:56     all   84.92    0.00    8.54    4.52    0.00    1.51    0.00    0.00    0.00    0.50
14:50:57     all   84.00    0.00    3.00   12.00    0.00    1.00    0.00    0.00    0.00    0.00
14:50:58     all   82.76    0.00    8.37    7.39    0.00    0.00    0.00    0.00    0.00    1.48
14:50:59     all   86.57    0.00    6.47    5.97    0.00    0.50    0.00    0.00    0.00    0.50
14:51:00     all   82.65    0.00    7.65    6.63    0.00    2.04    0.00    0.00    0.00    1.02
14:51:01     all   90.91    0.00    4.04    4.55    0.00    0.51    0.00    0.00    0.00    0.00
14:51:02     all   80.00    0.00    9.50    8.50    0.00    1.00    0.00    0.00    0.00    1.00
14:51:03     all   79.19    0.00   11.68    6.60    0.00    1.52    0.00    0.00    0.00    1.02
14:51:04     all   90.50    0.00    3.50    5.00    0.00    1.00    0.00    0.00    0.00    0.00
14:51:05     all   83.25    0.00    8.37    5.91    0.00    0.99    0.00    0.00    0.00    1.48
14:51:06     all   81.31    0.00   10.61    5.56    0.00    1.52    0.00    0.00    0.00    1.01
14:51:07     all   81.54    0.00   10.77    5.13    0.00    1.54    0.00    0.00    0.00    1.03
14:51:08     all   85.86    0.00    6.06    6.57    0.00    1.01    0.00    0.00    0.00    0.51
14:51:09     all   79.80    0.00   10.84    6.40    0.00    1.48    0.00    0.00    0.00    1.48
14:51:10     all   78.33    0.00   11.82    7.39    0.00    0.99    0.00    0.00    0.00    1.48
14:51:11     all   86.73    0.00    6.63    4.59    0.00    1.53    0.00    0.00    0.00    0.51
14:51:12     all   82.27    0.00   10.34    5.91    0.00    0.49    0.00    0.00    0.00    0.99
14:51:13     all   83.94    0.00   10.36    5.18    0.00    0.52    0.00    0.00    0.00    0.00
14:51:14     all   78.00    0.00   15.00    5.50    0.00    0.00    0.00    0.00    0.00    1.50
14:51:15     all   81.09    0.00    8.46    6.97    0.00    2.49    0.00    0.00    0.00    1.00
14:51:16     all   91.46    0.00    2.51    5.53    0.00    0.50    0.00    0.00    0.00    0.00
14:51:17     all   84.16    0.00   10.89    4.46    0.00    0.00    0.00    0.00    0.00    0.50
14:51:18     all   84.85    0.00    7.58    5.56    0.00    1.52    0.00    0.00    0.00    0.51
14:51:19     all   89.11    0.00    5.45    4.46    0.00    0.00    0.00    0.00    0.00    0.99
14:51:20     all   87.50    0.00    6.50    5.00    0.00    0.50    0.00    0.00    0.00    0.50
14:51:21     all   83.59    0.00    9.74    5.64    0.00    0.51    0.00    0.00    0.00    0.51
14:51:22     all   87.82    0.00    6.09    4.57    0.00    0.51    0.00    0.00    0.00    1.02
14:51:23     all   90.62    0.00    4.69    3.65    0.00    0.52    0.00    0.00    0.00    0.52
14:51:24     all   82.00    0.00    9.50    7.00    0.00    1.00    0.00    0.00    0.00    0.50
14:51:25     all   70.30    0.00   17.33    9.90    0.00    0.50    0.00    0.00    0.00    1.98
14:51:26     all   84.58    0.00    6.97    6.47    0.00    1.00    0.00    0.00    0.00    1.00
14:51:27     all   87.31    0.00    4.06    7.11    0.00    0.00    0.00    0.00    0.00    1.52
14:51:28     all   80.00    0.00   11.28    7.18    0.00    0.51    0.00    0.00    0.00    1.03
14:51:29     all   83.67    0.00    8.67    6.63    0.00    0.51    0.00    0.00    0.00    0.51
14:51:30     all   79.90    0.00    8.04   11.06    0.00    0.00    0.00    0.00    0.00    1.01
14:51:31     all   79.80    0.00    9.60    6.06    0.00    2.53    0.00    0.00    0.00    2.02
14:51:32     all   86.57    0.00    7.96    3.98    0.00    1.49    0.00    0.00    0.00    0.00
14:51:33     all   82.18    0.00   11.39    5.45    0.00    0.50    0.00    0.00    0.00    0.50
14:51:34     all   90.24    0.00    3.90    4.88    0.00    0.49    0.00    0.00    0.00    0.49
14:51:35     all   85.37    0.00    9.27    4.39    0.00    0.49    0.00    0.00    0.00    0.49
14:51:36     all   85.57    0.00    8.96    4.98    0.00    0.00    0.00    0.00    0.00    0.50
14:51:37     all   77.84    0.00   14.43    5.67    0.00    1.03    0.00    0.00    0.00    1.03
14:51:38     all   88.50    0.00    7.00    3.50    0.00    0.50    0.00    0.00    0.00    0.50
14:51:39     all   79.51    0.00   12.20    6.34    0.00    0.98    0.00    0.00    0.00    0.98
14:51:40     all   78.00    0.00   12.00    8.50    0.00    0.50    0.00    0.00    0.00    1.00
14:51:41     all   85.13    0.00    6.15    6.67    0.00    1.03    0.00    0.00    0.00    1.03
14:51:42     all   90.31    0.00    1.53    5.61    0.00    2.04    0.00    0.00    0.00    0.51
14:51:43     all   80.71    0.00   11.17    6.60    0.00    0.51    0.00    0.00    0.00    1.02
14:51:44     all   82.91    0.00    8.54    6.53    0.00    1.51    0.00    0.00    0.00    0.50
14:51:45     all   86.22    0.00    7.14    5.61    0.00    0.51    0.00    0.00    0.00    0.51
14:51:46     all   80.20    0.00   11.17    6.09    0.00    2.03    0.00    0.00    0.00    0.51
14:51:47     all   85.00    0.00    8.50    5.00    0.00    1.00    0.00    0.00    0.00    0.50
14:51:48     all   86.43    0.00    6.53    6.03    0.00    0.00    0.00    0.00    0.00    1.01
14:51:49     all   81.95    0.00    6.34    9.27    0.00    0.98    0.00    0.00    0.00    1.46
14:51:50     all   83.50    0.00   11.50    5.00    0.00    0.00    0.00    0.00    0.00    0.00
14:51:51     all   84.62    0.00    8.72    6.15    0.00    0.00    0.00    0.00    0.00    0.51
14:51:52     all   82.67    0.00    8.91    6.44    0.00    0.99    0.00    0.00    0.00    0.99
14:51:53     all   92.00    0.00    2.50    4.50    0.00    0.50    0.00    0.00    0.00    0.50
14:51:54     all   83.66    0.00    7.43    7.92    0.00    0.00    0.00    0.00    0.00    0.99
14:51:55     all   79.10    0.00   10.95    6.97    0.00    1.99    0.00    0.00    0.00    1.00
14:51:56     all   81.00    0.00   13.50    5.50    0.00    0.00    0.00    0.00    0.00    0.00
14:51:57     all   87.76    0.00    5.61    4.59    0.00    1.02    0.00    0.00    0.00    1.02
14:51:58     all   80.10    0.00   11.44    5.47    0.00    1.00    0.00    0.00    0.00    1.99
14:51:59     all   84.18    0.00    9.18    6.63    0.00    0.00    0.00    0.00    0.00    0.00
14:52:00     all   89.05    0.00    3.48    4.48    0.00    2.49    0.00    0.00    0.00    0.50
14:52:01     all   84.34    0.00    7.58    5.56    0.00    1.01    0.00    0.00    0.00    1.52
14:52:02     all   80.31    0.00   10.88    5.70    0.00    1.55    0.00    0.00    0.00    1.55
14:52:03     all   87.82    0.00    5.58    4.57    0.00    0.51    0.00    0.00    0.00    1.52
14:52:04     all   85.07    0.00    5.97    7.96    0.00    0.50    0.00    0.00    0.00    0.50
14:52:05     all   87.63    0.00    5.67    5.15    0.00    0.52    0.00    0.00    0.00    1.03
14:52:06     all   79.70    0.00    9.41    7.43    0.00    0.99    0.00    0.00    0.00    2.48
