Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-43-117.ec2.internal) 	04/21/26 	_x86_64_	(2 CPU)

17:40:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:40:46     all   11.48    0.00    1.09   24.04    0.00    0.55    0.00    0.00    0.00   62.84
17:40:47     all   13.13    0.00    1.52    3.03    0.00    0.00    0.00    0.00    0.00   82.32
17:40:48     all   11.34    0.00    1.55    3.09    0.00    0.00    0.00    0.00    0.00   84.02
17:40:49     all   13.54    0.00    0.52    3.65    0.00    0.00    0.00    0.00    0.00   82.29
17:40:50     all   10.61    0.00    1.52    2.02    0.00    0.51    0.00    0.00    0.00   85.35
17:40:51     all   20.59    0.00    2.45    2.94    0.00    0.00    0.00    0.00    0.00   74.02
17:40:52     all   13.23    0.00    1.59    3.70    0.00    0.00    0.00    0.00    0.00   81.48
17:40:53     all   15.20    0.00    0.98    2.45    0.00    0.49    0.00    0.00    0.00   80.88
17:40:54     all   17.17    0.00    2.02    4.04    0.00    1.01    0.00    0.00    0.00   75.76
17:40:55     all   15.90    0.00    0.51    2.56    0.00    0.00    0.00    0.00    0.00   81.03
17:40:56     all   16.24    0.00    1.02    3.05    0.00    0.00    0.00    0.00    0.00   79.70
17:40:57     all   17.09    0.00    1.51    4.02    0.00    0.00    0.00    0.00    0.00   77.39
17:40:58     all   13.50    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   82.50
17:40:59     all   18.93    0.00    1.46    3.88    0.00    0.49    0.00    0.00    0.00   75.24
17:41:00     all   10.88    0.00    1.04    3.11    0.00    0.00    0.00    0.00    0.00   84.97
17:41:01     all   17.44    0.00    1.54    2.56    0.00    0.00    0.00    0.00    0.00   78.46
17:41:02     all   38.00    0.00    7.50    8.00    0.00    0.50    0.00    0.00    0.00   46.00
17:41:03     all   38.42    0.00   10.34    8.37    0.00    0.99    0.00    0.00    0.00   41.87
17:41:04     all   17.41    0.00    1.49    4.48    0.00    1.00    0.00    0.00    0.00   75.62
17:41:05     all   15.08    0.00    1.01    2.51    0.00    0.00    0.00    0.00    0.00   81.41
17:41:06     all   12.89    0.00    1.55    2.58    0.00    0.52    0.00    0.00    0.00   82.47
17:41:07     all   16.08    0.00    2.01    4.02    0.00    0.00    0.00    0.00    0.00   77.89
17:41:08     all   13.20    0.00    1.52    2.03    0.00    0.00    0.00    0.00    0.00   83.25
17:41:09     all   17.19    0.00    0.52    3.65    0.00    0.52    0.00    0.00    0.00   78.12
17:41:10     all   12.43    0.00    2.70    4.86    0.00    0.54    0.00    0.00    0.00   79.46
17:41:11     all   10.77    0.00    1.54    3.59    0.00    0.51    0.00    0.00    0.00   83.59
17:41:12     all   11.70    0.00    0.53    4.79    0.00    0.53    0.00    0.00    0.00   82.45
17:41:13     all    3.72    0.00    1.06    2.66    0.00    0.00    0.00    0.00    0.00   92.55
17:41:14     all   12.81    0.00    0.99    1.97    0.00    0.00    0.00    0.00    0.00   84.24
17:41:15     all   13.99    0.00    2.07    3.63    0.00    0.00    0.00    0.00    0.00   80.31
17:41:16     all   13.64    0.00    0.51    3.54    0.00    0.51    0.00    0.00    0.00   81.82
17:41:17     all   18.41    0.00    1.99    3.48    0.00    0.50    0.00    0.00    0.00   75.62
17:41:18     all   13.20    0.00    3.05    2.54    0.00    0.00    0.00    0.00    0.00   81.22
17:41:19     all   14.14    0.00    1.52    2.53    0.00    0.00    0.00    0.00    0.00   81.82
17:41:20     all   20.85    0.00    2.84    4.74    0.00    0.47    0.00    0.00    0.00   71.09
17:41:21     all   19.60    0.00    0.50    3.02    0.00    0.00    0.00    0.00    0.00   76.88
17:41:22     all   15.74    0.00    2.54    3.55    0.00    0.00    0.00    0.00    0.00   78.17
17:41:23     all   23.53    0.00    1.47    7.35    0.00    0.98    0.00    0.00    0.00   66.67
17:41:24     all   20.10    0.00    0.98    4.90    0.00    0.00    0.00    0.00    0.00   74.02
17:41:25     all   13.40    0.00    3.09    3.61    0.00    1.03    0.00    0.00    0.00   78.87
17:41:26     all   22.17    0.00    2.36    3.77    0.00    0.47    0.00    0.00    0.00   71.23
17:41:27     all   14.29    0.00    1.48    3.45    0.00    0.00    0.00    0.00    0.00   80.79
17:41:28     all   18.10    0.00    2.86    3.81    0.00    0.48    0.00    0.00    0.00   74.76
17:41:29     all   21.15    0.00    1.92    3.85    0.00    0.00    0.00    0.00    0.00   73.08
17:41:30     all   14.43    0.00    0.50    2.99    0.00    0.50    0.00    0.00    0.00   81.59
