Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-40-165.ec2.internal) 	04/21/26 	_x86_64_	(2 CPU)

18:08:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:08:09     all   56.50    0.00    3.50   24.00    0.00    2.00    0.00    0.00    0.00   14.00
18:08:10     all   76.53    0.00    2.04   17.86    0.00    3.06    0.00    0.00    0.00    0.51
18:08:11     all   84.16    0.00    1.98   12.87    0.00    0.99    0.00    0.00    0.00    0.00
18:08:12     all   76.02    0.00    4.59   15.31    0.00    3.06    0.00    0.00    0.00    1.02
18:08:13     all   73.44    0.00    8.33   14.58    0.00    1.56    0.00    0.00    0.00    2.08
18:08:14     all   81.22    0.00    4.06   13.20    0.00    1.52    0.00    0.00    0.00    0.00
18:08:15     all   83.42    0.00    1.51   12.56    0.00    2.01    0.00    0.00    0.00    0.50
18:08:16     all   75.86    0.00    1.48   19.70    0.00    1.97    0.00    0.00    0.00    0.99
18:08:17     all   74.13    0.00    4.48   17.41    0.00    3.98    0.00    0.00    0.00    0.00
18:08:18     all   83.25    0.00    2.46   11.82    0.00    1.97    0.00    0.00    0.00    0.49
18:08:19     all   76.00    0.00    2.50   19.50    0.00    1.50    0.00    0.00    0.00    0.50
18:08:20     all   72.92    0.00    4.17   20.31    0.00    2.60    0.00    0.00    0.00    0.00
18:08:21     all   86.76    0.00    0.98   11.27    0.00    0.98    0.00    0.00    0.00    0.00
18:08:22     all   75.74    0.00    1.98   17.33    0.00    2.97    0.00    0.00    0.00    1.98
18:08:23     all   72.59    0.00    3.55   19.80    0.00    2.03    0.00    0.00    0.00    2.03
18:08:24     all   83.76    0.00    1.52   12.69    0.00    2.03    0.00    0.00    0.00    0.00
18:08:25     all   78.17    0.00    1.52   17.26    0.00    2.03    0.00    0.00    0.00    1.02
18:08:26     all   73.74    0.00    3.03   20.20    0.00    2.02    0.00    0.00    0.00    1.01
18:08:27     all   81.35    0.00    1.55   15.54    0.00    1.55    0.00    0.00    0.00    0.00
18:08:28     all   81.00    0.00    2.50   15.50    0.00    1.00    0.00    0.00    0.00    0.00
18:08:29     all   74.11    0.00    3.05   19.29    0.00    2.03    0.00    0.00    0.00    1.52
18:08:30     all   80.30    0.00    1.97   16.26    0.00    1.48    0.00    0.00    0.00    0.00
18:08:31     all   84.58    0.00    1.49   12.94    0.00    1.00    0.00    0.00    0.00    0.00
18:08:32     all   73.85    0.00    3.08   21.54    0.00    0.51    0.00    0.00    0.00    1.03
18:08:33     all   80.50    0.00    1.00   18.00    0.00    0.00    0.00    0.00    0.00    0.50
18:08:34     all   84.42    0.00    1.51   12.06    0.00    1.51    0.00    0.00    0.00    0.50
18:08:35     all   77.00    0.00    2.50   18.50    0.00    1.50    0.00    0.00    0.00    0.50
18:08:36     all   74.13    0.00    2.99   18.91    0.00    3.48    0.00    0.00    0.00    0.50
18:08:37     all   87.00    0.00    1.00   11.00    0.00    1.00    0.00    0.00    0.00    0.00
18:08:38     all   76.77    0.00    3.03   18.18    0.00    1.01    0.00    0.00    0.00    1.01
18:08:39     all   71.14    0.00    2.99   20.40    0.00    1.49    0.00    0.00    0.00    3.98
18:08:40     all   78.87    0.00    1.03   17.53    0.00    1.55    0.00    0.00    0.00    1.03
18:08:41     all   86.89    0.00    1.94    9.22    0.00    1.94    0.00    0.00    0.00    0.00
