procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 5897456   2168 1368492    0    0    26  1073 1947  599  6  1 88  5  0
 0  0      0 5897456   2168 1368440    0    0     0  1964 4336 7039  6  1 92  2  0
 0  0      0 5897456   2168 1368440    0    0     0     8 5696 8986  7  2 91  0  0
 2  0      0 5897456   2168 1368440    0    0     0    28 4921 7946  7  1 92  1  0
 0  0      0 5897456   2168 1368440    0    0     0    28 5141 8257 10  1 89  0  0
 0  0      0 5897456   2168 1368440    0    0     0    36 5329 8499  7  2 91  1  0
 2  0      0 5897456   2168 1368440    0    0     0    36 4031 6419  6  2 93  0  0
 0  0      0 5897456   2168 1368440    0    0     0    20 4409 7013  6  1 93  0  0
 0  0      0 5897456   2168 1368440    0    0     0     8 4823 7522  7  2 92  1  0
 3  0      0 5897456   2168 1368440    0    0     0   252 4593 7330  4  2 94  0  0
 0  0      0 5897456   2168 1368440    0    0     0   248 5309 8408 10  2 88  1  0
 0  0      0 5897456   2168 1368444    0    0     0  2064 4982 7949 11  1 87  1  0
 0  0      0 5897456   2168 1368444    0    0     0    32 5037 8060  9  2 89  0  0
 2  0      0 5897456   2168 1368444    0    0     0     8 5362 8666  5  2 93  0  0
 3  0      0 5897456   2168 1368444    0    0     0    20 4791 7535  5  2 93  0  0
 0  0      0 5897456   2168 1368448    0    0     0    44 5461 8735  6  4 90  1  0
 0  0      0 5897456   2168 1368448    0    0     0    16 4135 6617  6  2 92  0  0
 0  0      0 5897456   2168 1368448    0    0     0     8 5212 8231  8  2 90  1  0
 0  0      0 5897456   2168 1368448    0    0     0    40 5808 9311  6  1 93  0  0
 1  0      0 5897456   2168 1368448    0    0     0   244 4312 6976  5  2 92  0  0
 2  0      0 5897456   2168 1368448    0    0     0   252 5045 8072 10  3 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5897456   2168 1368448    0    0     0  1920 4448 7138  6  2 92  1  0
 2  0      0 5897456   2168 1368448    0    0     0    16 5204 8168  5  1 93  1  0
 0  0      0 5897456   2168 1368448    0    0     0    32 5048 8075  6  3 92  0  0
 0  0      0 5897456   2168 1368448    0    0     0   168 5008 7907  3  2 95  0  0
 0  0      0 5897456   2168 1368448    0    0     0    36 5117 8022  6  2 91  1  0
 0  0      0 5897456   2168 1368448    0    0     0    16 4907 7783  5  4 91  0  0
 0  0      0 5897456   2168 1368448    0    0     0    16 4755 7522  7  1 92  1  0
 0  0      0 5897456   2168 1368452    0    0     0    28 5551 8854  6  0 94  0  0
 0  0      0 5897456   2168 1368452    0    0     0   236 5254 8353  3  1 95  1  0
 0  0      0 5897232   2168 1368452    0    0     0  7696 4480 7125  8  1 89  2  0
 0  0      0 5897232   2168 1368452    0    0     0  1928 5203 8299  8  1 89  2  0
 0  0      0 5897232   2168 1368452    0    0     0    16 5301 8414  5  1 94  0  0
 3  0      0 5897232   2168 1368452    0    0     0    20 5283 8432  7  1 92  0  0
 0  0      0 5897232   2168 1368452    0    0     0    32 4507 7158  7  1 91  0  0
 3  0      0 5897232   2168 1368452    0    0     0    32 5365 8515  7  2 91  1  0
 0  0      0 5897232   2168 1368452    0    0     0    36 5313 8252  5  2 93  0  0
 3  0      0 5897232   2168 1368452    0    0     0    12 4808 7698  7  2 92  0  0
 0  0      0 5897232   2168 1368452    0    0     0     8 4866 7672  4  1 95  0  0
 0  0      0 5897232   2168 1368452    0    0     0   256 4941 7844  6  2 92  1  0
 0  0      0 5897232   2168 1368452    0    0     0   248 5235 8097  7  3 90  1  0
 0  0      0 5897232   2168 1368456    0    0     0  1908 4937 7967  4  1 93  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5897232   2168 1368460    0    0     0    56 4226 6731  7  1 92  0  0
 0  0      0 5897232   2168 1368460    0    0     0     8 4941 7817  7  1 91  0  0
 0  0      0 5897232   2168 1368464    0    0     0     8 4750 7576  4  2 95  0  0
 3  0      0 5897232   2168 1368464    0    0     0    32 4833 7730  8  2 91  0  0
 0  0      0 5897232   2168 1368464    0    0     0    36 4925 7840 10  0 89  1  0
 3  0      0 5897232   2168 1368464    0    0     0    20 4937 7846  7  1 92  0  0
 0  0      0 5897232   2168 1368464    0    0     0    32 4746 7592  8  1 90  0  0
 0  0      0 5897232   2168 1368464    0    0     0   240 4467 7090  7  2 92  0  0
 0  0      0 5897232   2168 1368464    0    0     0   248 4587 7233  4  2 94  1  0
 0  0      0 5897232   2168 1368464    0    0     0  1924 4406 7018  9  0 90  2  0
 0  0      0 5897232   2168 1368464    0    0     0   516 7476 11318 10  2 86  3  0
 2  0      0 5897232   2168 1368464    0    0     0    44 5024 8001  4  1 95  0  0
 0  0      0 5897232   2168 1368464    0    0     0   120 5111 8029  3  1 96  1  0
 0  0      0 5897232   2168 1368468    0    0     0    40 4667 7393  7  2 92  0  0
 0  0      0 5897232   2168 1368468    0    0     0    20 5671 9078  8  2 90  1  0
 0  0      0 5896476   2168 1368468    0    0     0    16 5441 8888 11  4 85  0  0
 0  0      0 5896476   2168 1368468    0    0     0   688 7202 10532 12  3 82  4  0
 0  0      0 5896224   2168 1368468    0    0     0   244 4549 7263  8  2 89  0  0
 0  0      0 5892128   2168 1368468    0    0     0   272 5098 7946 12  1 86  0  0
 0  0      0 5891120   2168 1368472    0    0     0  1976 5028 8105  6  2 91  2  0
 0  0      0 5891120   2168 1368472    0    0     0     8 4582 7190  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5891120   2168 1368472    0    0     0    36 5151 8242  7  2 91  1  0
 0  0      0 5891120   2168 1368472    0    0     0    28 4694 7485  7  2 90  0  0
 0  0      0 5891120   2168 1368472    0    0     0    40 4725 7501  6  2 91  1  0
 0  0      0 5888600   2168 1368472    0    0     0   412 5798 8743 11  2 86  2  0
 0  0      0 5887844   2168 1368472    0    0     0     8 4379 6973  5  1 95  0  0
 0  0      0 5887844   2168 1368476    0    0     0    20 5261 8394  6  2 93  0  0
 0  0      0 5887592   2168 1368476    0    0     0   240 4733 7659  4  2 94  1  0
 0  0      0 5879148   2168 1368476    0    0     0   256 5082 8117  7  1 92  1  0
 0  0      0 5878392   2168 1368476    0    0     0  1640 4423 7041  9  1 90  1  0
 0  0      0 5878392   2168 1368476    0    0     0   312 4516 7145  8  0 92  1  0
 0  0      0 5878392   2168 1368476    0    0     0    16 4884 7663  7  1 93  0  0
 0  0      0 5878392   2168 1368476    0    0     0    12 4475 7184  6  3 92  0  0
 0  0      0 5878392   2168 1368476    0    0     0    36 5240 8521  4  1 95  1  0
 3  0      0 5875876   2168 1368476    0    0     0    16 5399 8727  6  4 90  0  0
 0  0      0 5875876   2168 1368476    0    0     0    32 4996 7948 10  2 88  0  0
 3  0      0 5875876   2168 1368476    0    0     0    16 4965 7933  5  1 95  0  0
 0  0      0 5875876   2168 1368476    0    0     0   244 4674 7638  5  3 92  1  0
 0  0      0 5869512   2168 1368584    0    0     0   312 5665 9019 11  2 86  1  0
 0  0      0 5868756   2168 1368588    0    0     0  6420 5245 8563 10  1 88  2  0
 0  0      0 5868756   2168 1368588    0    0     0     8 5158 8255  4  1 96  0  0
 0  0      0 5868756   2168 1368588    0    0     0    64 5045 8011  2  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5868756   2168 1368592    0    0     0   244 4770 7526  9  2 89  0  0
 0  0      0 5868756   2168 1368592    0    0     0    24 4513 7215  6  1 92  0  0
 0  0      0 5868756   2168 1368592    0    0     0    16 4689 7413  5  2 93  0  0
 0  0      0 5868756   2168 1368592    0    0     0    28 4849 7762 10  0 90  0  0
 0  0      0 5868756   2168 1368592    0    0     0    20 4742 7679  8  0 91  0  0
 0  0      0 5868756   2168 1368596    0    0     0   256 4792 7706  9  1 91  0  0
 0  0      0 5868504   2168 1368596    0    0     0   256 5495 8841 10  2 89  1  0
 0  0      0 5868000   2168 1368600    0    0     0  1908 5184 8367  6  2 91  2  0
 0  0      0 5868000   2168 1368600    0    0     0     8 4986 8041 10  3 87  0  0
