procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5771468   2168 1374584    0    0    25  1048 1972  748  6  1 88  5  0
 0  1      0 5771476   2168 1374664    0    0     0  4812 13684 19723 21  5 54 20  0
 0  1      0 5771224   2168 1374664    0    0     0  4620 14334 20793 20  8 53 19  0
 3  0      0 5768956   2168 1374664    0    0     0  4796 12633 19532 14  2 63 21  0
 1  0      0 5790380   2168 1391388    0    0     0 27940 9049 11912 36  5 38 21  0
 1  0      0 5792144   2168 1377700    0    0     0 30472 10194 14871 24  5 53 18  0
 0  1      0 5791136   2168 1377700    0    0     0  3112 9410 14750 13  2 72 13  0
 0  1      0 5790376   2168 1377700    0    0     0  3556 11516 17617 10  4 68 17  0
 0  0      0 5789116   2168 1377700    0    0     0  4544 14130 21190 18  6 56 19  0
 0  0      0 5787856   2168 1377700    0    0     0  4404 13032 19455 15  6 61 18  0
 1  1      0 5786848   2168 1377700    0    0     0  3716 11958 18193 10  4 68 18  0
 0  0      0 5785588   2168 1377700    0    0     0  4584 14418 21456 18  6 56 20  0
 3  1      0 5784580   2168 1377700    0    0     0  3788 11483 17391 16  5 64 17  0
 0  1      0 5786092   2168 1377700    0    0     0  3792 11904 17655 15  5 63 16  0
 0  0      0 5784580   2168 1377700    0    0     0  5132 16705 25639 18  7 54 21  0
 0  0      0 5782816   2168 1377704    0    0     0  5140 11386 17176 14  3 66 17  0
 1  1      0 5781808   2168 1377704    0    0     0  3820 12262 18636 16  4 62 17  0
 3  1      0 5780548   2168 1377704    0    0     0  4552 14121 21124 21  5 55 19  0
 0  0      0 5779540   2168 1377704    0    0     0  3848 11813 17923 10  3 69 18  0
 0  1      0 5778532   2168 1377704    0    0     0  4088 12790 19475 14  2 64 20  0
 3  0      0 5777272   2168 1377704    0    0     0  4444 13960 21054 12  7 60 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5776264   2168 1377704    0    0     0  3692 11744 17994 19  4 61 16  0
 0  0      0 5775004   2168 1377704    0    0     0  4176 13387 20305 12  3 64 21  0
 1  1      0 5773744   2168 1377704    0    0     0  4356 13005 19599 13  5 63 20  0
 0  0      0 5772484   2168 1377708    0    0     0  4116 8893 12124 13  4 63 20  0
 0  1      0 5770468   2168 1377708    0    0     0  5844 13211 19700 21  5 55 19  0
 1  1      0 5768956   2168 1377708    0    0     0  4000 12920 19702 16  6 60 18  0
 0  1      0 5767696   2168 1377708    0    0     0  3668 10464 15264 12  4 65 19  0
 3  0      0 5766436   2168 1377712    0    0     0  4716 12830 18340 18  4 56 22  0
 3  0      0 5752260   2168 1377712    0    0     0  3540 10655 15895 19  4 60 17  0
 0  0      0 5750244   2168 1377712    0    0     0  3548 11557 17952 18  5 63 14  0
 2  0      0 5750496   2168 1383728    0    0     0  8796 9948 13686 30  4 50 16  0
 2  1      0 5739412   2168 1380804    0    0     0 35072 9761 12665 29  9 40 22  0
 0  0      0 5738152   2168 1380804    0    0     0  4036 11799 17757 15  4 64 18  0
 3  0      0 5737396   2168 1380804    0    0     0  3280 8836 14000 13  3 72 12  0
 0  0      0 5750500   2168 1380804    0    0     0  4644 9722 14874 15  4 67 14  0
 0  1      0 5757444   2168 1380804    0    0     0  4744 9754 12619 33  4 41 22  0
 0  1      0 5757556   2168 1380804    0    0     0  4592 13910 20523 27  5 51 18  0
 1  1      0 5757556   2168 1380804    0    0     0  3828 8506 10844 18  4 59 19  0
 0  0      0 5765652   2168 1380804    0    0     0  4388 12313 18423 14  5 61 20  0
 0  1      0 5765652   2168 1380804    0    0     0  4096 10020 13622 18  1 60 21  0
 0  1      0 5765652   2168 1380808    0    0     0  3576 11548 17512 16  3 65 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5765652   2168 1380812    0    0     0  4324 13816 20437 18  4 59 19  0
