procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 11433224   2168 1569876    0    0    35  3201 1508 1898 19  2 75  4  0
 2  0      0 11409788   2168 1568508    0    0     0 43152 6108 2319 83 11  2  5  0
 1  0      0 11329404   2168 1590028    0    0     0 26340 7558 3041 77  8  9  7  0
 1  1      0 11358108   2168 1558900    0    0     0 16024 2943 1651 69  4 20  6  0
 2  0      0 11530860   2168 1571900    0    0     0 28628 3918 2144 72  5 16  7  0
 2  0      0 11555212   2168 1577652    0    0     0 50708 7219 3511 79 10  4  7  0
 1  0      0 11371700   2168 1572188    0    0     0 42796 7173 3216 77 12  2  9  0
 1  0      0 11431204   2168 1559552    0    0     0 12984 3325 1758 67  4 26  3  0
 1  0      0 11431484   2168 1559552    0    0     0 16384 2470 2547 57  2 36  5  0
 2  0      0 11467156   2168 1578968    0    0     0 34808 4145 2112 77  9 10  4  0
 2  0      0 11386196   2168 1570140    0    0     0 42872 4880 1282 85  9  3  4  0
 2  0      0 11302216   2168 1587592    0    0     0 27340 6214 1328 86 10  1  4  0
 2  0      0 11327920   2168 1557372    0    0     0 15676 2184 2069 58  3 34  5  0
 1  1      0 11320420   2168 1575436    0    0     0 33212 4777 2313 78  5 10  7  0
 2  0      0 11309832   2168 1578664    0    0     0 43748 6347 1566 83  8  2  6  0
 1  1      0 11193776   2168 1570140    0    0     0 43692 5623 1856 80 10  2  8  0
 2  0      0 11195788   2168 1558936    0    0     0  2708 2680 2461 63  3 27  7  0
 1  0      0 11192764   2168 1556816    0    0     0 15812 1988 2141 59  2 34  5  0
 1  1      0 11201080   2168 1579916    0    0     0 42400 3763 2801 81  7  6  7  0
 2  0      0 11300712   2168 1564180    0    0     0 45196 7058 3126 82  9  2  7  0
 2  0      0 11349124   2168 1558128    0    0     0 28620 3126 1504 74  3 15  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11380552   2168 1565128    0    0     0 23148 2204 2286 66  4 23  7  0
 1  1      0 11362732   2168 1573240    0    0     0 26896 6593 1314 81 12  1  6  0
 2  0      0 11322360   2168 1567968    0    0     0 45300 5367 2148 78 11  3  8  0
 2  0      0 11344408   2168 1555600    0    0     0 30008 3751 1922 79  7  7  7  0
 1  1      0 11319828   2168 1555600    0    0     0 15572 2090 2500 57  3 37  3  0
 2  0      0 11321340   2168 1570560    0    0     0 32784 3136 1750 74  6 13  7  0
 2  0      0 11287324   2168 1588340    0    0     0 31616 8227 1991 79 13  1  7  0
 2  0      0 11373740   2168 1554648    0    0     0 39496 5061 2262 74 10  9  7  0
 1  0      0 11365296   2168 1554648    0    0     0 16196 2427 2683 60  2 33  5  0
 2  0      0 11400072   2168 1571468    0    0     0 38264 4312 1782 83  6  6  6  0
 2  0      0 11389140   2168 1559448    0    0     0 40308 8084 2266 85  9  1  5  0
 1  0      0 11408640   2168 1566500    0    0     0 29228 4650 2073 74  9  9  8  0
 2  0      0 11410912   2168 1555028    0    0     0 30396 2464 2661 60  4 32  4  0
 1  1      0 11365544   2168 1563540    0    0     0 24732 2001 2266 65  6 25  4  0
 2  0      0 11367308   2168 1570812    0    0     0 22524 5573 1970 91  6  1  3  0
 2  0      0 11292968   2168 1569656    0    0     0 44852 6848 2421 81 10  2  7  0
 2  0      0 11290400   2168 1553376    0    0     0 23612 5531 2481 67 11 16  7  0
 2  0      0 11282384   2168 1558756    0    0     0 28028 2036 2298 63  5 30  3  0
 2  0      0 11347212   2168 1576308    0    0     0 24980 6485 1949 84 10  1  5  0
 3  0      0 11355780   2168 1557208    0    0     0 43372 5245 1820 82  8  4  6  0
 3  0      0 11315208   2168 1549244    0    0     0 23348 5642 2138 68 11 14  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11275896   2168 1552760    0    0     0 33148 2226 2516 60  6 29  5  0
 2  1      0 11305632   2168 1564568    0    0     0 21904 4175 1564 86  9  1  4  0
 2  0      0 11405924   2168 1559220    0    0     0 40464 7550 1588 81  9  3  7  0
 2  0      0 11392820   2168 1550896    0    0     0 32308 3890 2628 68  6 18  7  0
 4  0      0 11380336   2168 1550820    0    0     0 15764 1910 1992 65  1 30  5  0
 3  0      0 11552204   2168 1561116    0    0     0 27548 3077 1931 71  6 19  4  0
 2  0      0 11518956   2168 1564228    0    0     0 34656 4800 1557 85  7  1  7  0
 2  0      0 11480472   2168 1569008    0    0     0 32792 6706 2226 84  8  3  5  0
