procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13170484   2168 1543288    0    0    32  4002 1660 2631  9  2 84  5  0
 0  0      0 13219108   2168 1543384    0    0     0  1676 2389 3926  8  3 89  1  0
 3  0      0 13219108   2168 1543384    0    0     0    12 3595 5846  5  4 91  0  0
 0  0      0 13219108   2168 1543384    0    0     0    36 4175 6779  8  0 92  0  0
 0  0      0 13219108   2168 1543384    0    0     0    60 4047 6623 11  2 86  0  0
 3  0      0 13219108   2168 1543384    0    0     0    36 3727 6086 10  3 87  0  0
 0  0      0 13219108   2168 1543384    0    0     0    44 4143 6737  7  2 91  0  0
 0  0      0 13219108   2168 1543384    0    0     0   136 2987 4996  5  1 95  0  0
 0  0      0 13219108   2168 1543384    0    0     0    28 2797 4560  6  0 93  0  0
 0  0      0 13219108   2168 1543384    0    0     0   256 3558 5941  8  0 92  1  0
 2  0      0 13218884   2168 1543384    0    0     0   468 3469 5706  7  2 90  0  0
 0  1      0 13218380   2168 1543384    0    0     0 16652 3803 5900 10  3 84  2  0
 1  0      0 13321916   2168 1548908    0    0     0 38636 3024 3662 39  8 49  4  0
 2  0      0 13354208   2168 1552160    0    0     0 50512 3365 3565 52  6 37  6  0
 0  0      0 13293220   2168 1542932    0    0     0 20764 2444 3838 16  4 79  2  0
 0  0      0 13254096   2168 1542936    0    0     0 14232 2908 4652 12  3 85  1  0
 3  0      0 13273920   2168 1549032    0    0     0 32524 3220 4921 22  5 71  3  0
 3  0      0 13209744   2168 1553704    0    0     0 39988 3161 3264 39 12 44  6  0
 3  0      0 13221840   2168 1544376    0    0     0 20828 2854 3879 17  4 77  2  0
 1  0      0 13225116   2168 1544376    0    0     0 15164 3289 5274 12  1 86  1  0
 2  1      0 13222344   2168 1544376    0    0     0 23036 3177 4932 10  3 86  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13236232   2168 1556024    0    0     0 44508 3175 3236 45 11 39  6  0
 1  0      0 13218908   2168 1553348    0    0     0 49548 3101 2402 46 11 37  5  0
 0  0      0 13274348   2168 1540344    0    0     0 18884 2646 3858 11  6 82  2  0
 0  0      0 13254188   2168 1540344    0    0     0 14964 2487 3942  8  1 90  1  0
 1  0      0 13265468   2168 1553412    0    0     0 28108 4420 5239 29  6 62  3  0
 2  0      0 13241840   2168 1549752    0    0     0 46284 3000 3462 42  9 44  6  0
 0  0      0 13256708   2168 1541848    0    0     0  9852 3454 5286 12  2 85  1  0
 2  0      0 13251668   2168 1542908    0    0     0 23744 3060 5131 16  5 78  1  0
 2  0      0 13238276   2168 1547260    0    0     0 47784 2497 2417 41 10 44  6  0
 0  0      0 13216832   2168 1540356    0    0     0 35048 3234 4321 28  7 61  4  0
 0  0      0 13190652   2168 1540356    0    0     0 16572 3126 5377 11  2 86  2  0
 2  0      0 13218844   2168 1540356    0    0     0 14944 3987 6043 13  3 83  1  0
 0  1      0 13234732   2168 1551320    0    0     0 43972 3228 4248 36  8 51  5  0
 0  0      0 13212052   2168 1544092    0    0     0 38824 2730 3039 32  6 57  4  0
 0  0      0 13212052   2168 1544092    0    0     0    20 2461 4145  3  1 96  1  0
 1  0      0 13211232   2168 1553392    0    0     0 38792 3216 4163 26  3 68  3  0
 2  0      0 13211484   2168 1550356    0    0     0 47540 3423 3267 42 12 41  6  0
 0  0      0 13269444   2168 1541816    0    0     0 20420 2121 2874 27  3 68  2  0
 0  0      0 13285352   2168 1541820    0    0     0 15172 3131 4492 11  2 87  1  0
 0  0      0 13269000   2168 1541820    0    0     0 15380 2683 4349 10  2 88  1  0
 2  2      0 13308816   2168 1556444    0    0     0 51888 3236 3216 47  8 39  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13301192   2168 1543504    0    0     0 45256 4502 3768 40  9 45  6  0
 0  0      0 13301192   2168 1543508    0    0     0 14920 2483 4133  8  1 90  1  0
 3  0      0 13291804   2168 1543508    0    0     0 14956 4152 6588  8  2 88  1  0
 1  0      0 13310092   2168 1552484    0    0     0 32216 3089 4390 34  6 57  3  0
 2  0      0 13275676   2168 1551588    0    0     0 55728 4691 4353 45 11 38  6  0
 0  0      0 13271896   2168 1543832    0    0     0  9192 2550 3855 13  3 82  2  0
 1  0      0 13245940   2168 1543836    0    0     0 22616 2425 3861 10  5 83  1  0
 0  1      0 13246072   2168 1550928    0    0     0 43984 3933 3741 44 10 40  6  0
 0  0      0 13243672   2168 1542568    0    0     0 32628 3272 3845 35  9 52  4  0
 0  0      0 13228300   2168 1542684    0    0     0 23876 3055 4876  9  2 88  2  0
 0  0      0 13210156   2168 1542684    0    0     0 14928 2400 3872 10  2 88  1  0
 1  0      0 13157992   2168 1563964    0    0     0 38172 2097 2579 38  5 54  4  0
 0  0      0 13170316   2168 1541976    0    0     0 44636 3432 2499 44 11 39  6  0
 0  0      0 13170340   2168 1541948    0    0     0   400 4574 7686 11  2 84  3  0
 0  0      0 13170340   2168 1541952    0    0     0 14956 3125 5272  9  2 88  2  0
 1  0      0 13148116   2168 1558480    0    0     0 49508 2570 2705 42  9 45  5  0
 0  0      0 13141736   2168 1543752    0    0     0 29124 2444 2658 29  7 61  3  0
 3  0      0 13126300   2168 1543752    0    0     0 15176 2841 4580  8  2 89  1  0
 0  0      0 13124692   2168 1543752    0    0     0 15424 3848 6204  9  2 88  1  0
 2  0      0 13205812   2168 1549572    0    0     0 28040 3029 4181 30  5 61  3  0
 1  0      0 13200292   2168 1554288    0    0     0 35136 3512 3440 45 11 38  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13213172   2168 1544904    0    0     0 20912 3083 4774 16  3 78  3  0
 2  0      0 13197008   2168 1544908    0    0     0 22632 3409 5150 13  4 82  1  0
 2  0      0 13229008   2168 1561168    0    0     0 43960 3262 3836 42 10 42  6  0
 2  0      0 13215400   2168 1546328    0    0     0 24208 3470 4645 21 11 66  3  0
 0  0      0 13207840   2168 1546332    0    0     0 22304 2546 4052  8  2 89  2  0
 0  0      0 13192468   2168 1546332    0    0     0 14940 3271 5139 11  2 87  1  0
 1  0      0 13172936   2168 1560988    0    0     0 36852 3611 5043 33  7 56  4  0
 0  1      0 13116636   2168 1556004    0    0     0 44944 3110 3307 35 13 45  7  0
 0  0      0 13123296   2168 1549212    0    0     0 20840 3230 4594 26  3 69  2  0
 0  0      0 13106160   2168 1549216    0    0     0 15004 2532 4059  9  1 89  1  0
 1  1      0 13097340   2168 1552256    0    0     0 25684 3664 5522 20  4 75  2  0
 1  0      0 13089972   2168 1570428    0    0     0 45180 2763 2909 42 10 43  6  0
 0  0      0 13121280   2168 1544960    0    0     0 37416 3137 2721 36 11 49  3  0
 0  0      0 13121280   2168 1544960    0    0     0 15060 2907 4943 14  2 84  1  0
 1  0      0 13132348   2168 1548780    0    0     0 35928 2283 3273 32  4 60  4  0
 1  0      0 13197636   2168 1549164    0    0     0 52084 4240 3623 48  9 37  6  0
 0  0      0 13174452   2168 1545428    0    0     0 23972 2549 3695 19  4 74  3  0
 0  0      0 13174452   2168 1545432    0    0     0   492 2490 4125  5  1 94  1  0
 1  0      0 13123296   2168 1552048    0    0     0 30748 3337 5008 28  4 64  4  0
 2  0      0 13171384   2168 1556372    0    0     0 50068 2712 3204 37 11 46  6  0
 0  0      0 13252956   2168 1546208    0    0     0 27804 3033 3721 29  6 63  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13265608   2168 1546212    0    0     0 14968 3273 5188 10  3 85  1  0
 1  0      0 13253044   2168 1553472    0    0     0 48204 2634 3689 46 10 39  5  0
 1  0      0 13292476   2168 1547756    0    0     0 36764 3737 4117 35  7 53  5  0
 0  0      0 13282396   2168 1547756    0    0     0 22212 2272 3657  9  1 88  1  0
 2  0      0 13250388   2168 1547760    0    0     0 14936 3332 5245 12  2 85  2  0
 1  0      0 13289972   2168 1555920    0    0     0 37140 5622 4887 32  9 53  7  0
 1  0      0 13282440   2168 1549480    0    0     0 51704 2911 2585 45 12 41  3  0
 2  0      0 13284220   2168 1543176    0    0     0 35768 5708 5615 32 14 46  7  0
 2  0      0 13319516   2168 1549408    0    0     0 79300 3791 3752 38  9 44 10  0
 0  0      0 13300452   2168 1548372    0    0     0 37692 4017 4598 31  8 52  9  0
 1  1      0 13340400   2168 1549012    0    0     0 17728 6370 10277 19  3 70  8  0
 2  0      0 13405300   2168 1552300    0    0     0 53228 4466 3017 42 13 32 14  0
 0  0      0 13350616   2168 1544228    0    0     0 32260 4841 5597 26  8 55 11  0
 2  0      0 13366900   2168 1551020    0    0     0 33124 3571 5577 17  4 70  9  0
 2  0      0 13410272   2168 1548616    0    0     0 60232 4006 3981 46  9 35 10  0
 0  1      0 13462508   2168 1543332    0    0     0 35712 5227 7426 18  3 72  7  0
 0  1      0 13362212   2168 1563588    0    0     0 57952 3600 3427 43  8 38 11  0
 1  1      0 13414388   2168 1557104    0    0     0 75148 5421 6999 38 10 36 17  0
 2  0      0 13397416   2168 1557372    0    0     0 88308 5830 6867 29 13 42 17  0
 4  0      0 13310040   2168 1557660    0    0     0 92496 6600 3924 48 17 19 17  0
 0  0      0 13341384   2168 1548076    0    0     0 83932 7004 7918 30 13 41 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13298480   2168 1549740    0    0     0 91364 6638 6949 33 17 32 19  0
 2  0      0 13256652   2168 1561956    0    0     0 92128 5000 4546 38 14 30 18  0
 2  1      0 13378020   2168 1548300    0    0     0 61280 7718 9074 45 12 24 19  0
 0  1      0 13369728   2168 1548172    0    0     0 22160 12638 23277 13  5 56 26  0
 0  0      0 13314792   2168 1548172    0    0     0 21700 12132 22204 10  4 60 26  0
 1  0      0 13362588   2168 1546212    0    0     0 37200 6717 8260 46  8 27 19  0
 3  1      0 13390632   2168 1539108    0    0     0 34336 10580 16588 38  8 33 22  0
 2  1      0 13409820   2168 1539108    0    0     0 22928 11297 19892 15  4 55 26  0
 0  0      0 13459992   2168 1540092    0    0     0 32780 7382 10878 37  7 38 17  0
 0  1      0 13459992   2168 1540092    0    0     0 20620 10649 19180 11  5 63 21  0
