Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-36-198.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

17:13:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:13:06     all    5.10    0.00    1.53    0.51    0.00    0.00    0.00    0.00    0.00   92.86
17:13:07     all   94.95    0.00    1.52    0.00    0.00    3.54    0.00    0.00    0.00    0.00
17:13:08     all   93.03    0.00    4.98    0.50    0.00    1.49    0.00    0.00    0.00    0.00
17:13:09     all   94.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00
17:13:10     all   94.44    0.00    2.02    0.00    0.00    3.54    0.00    0.00    0.00    0.00
17:13:11     all   93.97    0.00    4.52    0.00    0.00    1.51    0.00    0.00    0.00    0.00
17:13:12     all   93.53    0.00    3.98    0.50    0.00    1.99    0.00    0.00    0.00    0.00
17:13:13     all   95.00    0.00    4.50    0.00    0.00    0.50    0.00    0.00    0.00    0.00
17:13:14     all   94.00    0.00    3.50    0.00    0.00    2.50    0.00    0.00    0.00    0.00
17:13:15     all   95.00    0.00    2.50    0.50    0.00    1.50    0.00    0.00    0.00    0.50
17:13:16     all   95.48    0.00    1.01    1.51    0.00    2.01    0.00    0.00    0.00    0.00
17:13:17     all   93.50    0.00    3.50    2.00    0.00    1.00    0.00    0.00    0.00    0.00
17:13:18     all   87.88    0.00    9.09    1.52    0.00    1.01    0.00    0.00    0.00    0.51
17:13:19     all   92.61    0.00    4.93    1.97    0.00    0.00    0.00    0.00    0.00    0.49
17:13:20     all   82.65    0.00    9.69    3.57    0.00    3.06    0.00    0.00    0.00    1.02
17:13:21     all   93.00    0.00    3.50    1.50    0.00    1.50    0.00    0.00    0.00    0.50
17:13:22     all   89.45    0.00    7.54    2.01    0.00    1.01    0.00    0.00    0.00    0.00
17:13:23     all   87.13    0.00    8.91    2.48    0.00    0.99    0.00    0.00    0.00    0.50
17:13:24     all   90.95    0.00    5.03    2.51    0.00    1.01    0.00    0.00    0.00    0.50
17:13:25     all   86.43    0.00    8.04    3.52    0.00    1.51    0.00    0.00    0.00    0.50
17:13:26     all   83.33    0.00   11.11    3.03    0.00    1.52    0.00    0.00    0.00    1.01
17:13:27     all   87.31    0.00    9.14    2.03    0.00    1.02    0.00    0.00    0.00    0.51
17:13:28     all   81.73    0.00   15.23    2.03    0.00    0.51    0.00    0.00    0.00    0.51
17:13:29     all   91.00    0.00    4.00    2.50    0.00    1.50    0.00    0.00    0.00    1.00
17:13:30     all   92.50    0.00    4.00    2.50    0.00    0.50    0.00    0.00    0.00    0.50
17:13:31     all   90.55    0.00    5.47    2.49    0.00    1.49    0.00    0.00    0.00    0.00
17:13:32     all   90.05    0.00    6.47    2.99    0.00    0.00    0.00    0.00    0.00    0.50
17:13:33     all   89.95    0.00    6.03    2.01    0.00    1.01    0.00    0.00    0.00    1.01
17:13:34     all   92.89    0.00    4.06    2.54    0.00    0.51    0.00    0.00    0.00    0.00
17:13:35     all   88.27    0.00    9.18    1.53    0.00    0.51    0.00    0.00    0.00    0.51
17:13:36     all   82.83    0.00   12.63    3.03    0.00    0.51    0.00    0.00    0.00    1.01
17:13:37     all   91.00    0.00    6.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00
17:13:38     all   97.01    0.00    1.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00
17:13:39     all   89.00    0.00    7.50    2.50    0.00    0.50    0.00    0.00    0.00    0.50
17:13:40     all   91.00    0.00    6.00    2.00    0.00    0.50    0.00    0.00    0.00    0.50
17:13:41     all   86.14    0.00    9.90    2.48    0.00    0.99    0.00    0.00    0.00    0.50
17:13:42     all   85.71    0.00   10.20    3.06    0.00    0.51    0.00    0.00    0.00    0.51
17:13:43     all   88.94    0.00    7.54    3.02    0.00    0.00    0.00    0.00    0.00    0.50
17:13:44     all   89.05    0.00    6.97    2.49    0.00    1.00    0.00    0.00    0.00    0.50
