procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13378248   2168 1526644    0    0    31  4396 1578 1827 25  3 68  4  0
 0  0      0 13378248   2168 1526620    0    0     0    20 1301 2288  1  0 99  0  0
 0  0      0 13378248   2168 1526620    0    0     0    28 1180 2069  0  1 99  1  0
 0  0      0 13378248   2168 1526620    0    0     0   456 1234 2195  1  0 99  0  0
 0  0      0 13378248   2168 1526620    0    0     0   484 1446 2492  2  1 96  0  0
 0  0      0 13378248   2168 1526624    0    0     0  1704 1819 3199  2  0 97  2  0
 0  0      0 13378248   2168 1526624    0    0     0   100 1170 2122  0  0 100  0  0
 0  0      0 13378248   2168 1526624    0    0     0    12 1152 2045  1  0 99  0  0
 0  0      0 13378248   2168 1526624    0    0     0    40 1422 2509  0  0 99  1  0
 0  0      0 13378248   2168 1526624    0    0     0     0 1069 1907  0  0 100  0  0
 0  0      0 13378248   2168 1526624    0    0     0    24 1309 2319  2  0 97  0  0
 0  0      0 13378248   2168 1526624    0    0     0    36 1268 2238  0  0 100  0  0
 0  0      0 13378248   2168 1526624    0    0     0    16 1195 2124  0  0 100  0  0
 0  0      0 13378248   2168 1526624    0    0     0   256 1417 2451  1  0 98  1  0
 0  0      0 13378248   2168 1526624    0    0     0   476 1617 2845  2  0 97  1  0
 0  0      0 13378248   2168 1526628    0    0     0  1688 1998 3556  3  0 96  1  0
 0  0      0 13378248   2168 1526628    0    0     0    20 1361 2404  2  0 97  0  0
 0  0      0 13378248   2168 1526628    0    0     0   152 2129 3611  1  0 98  2  0
 0  0      0 13378248   2168 1526628    0    0     0    72 1652 2882  2  0 98  1  0
 0  0      0 13378248   2168 1526628    0    0     0    12 1196 2082  1  0 99  0  0
 0  0      0 13378248   2168 1526628    0    0     0    44 1286 2252  1  1 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13374152   2168 1526628    0    0     0     8 1189 2147  0  0 100  0  0
 0  0      0 13374152   2168 1526628    0    0     0    20 1286 2269  0  1 99  0  0
 0  0      0 13374152   2168 1526628    0    0     0   268 1402 2431  2  0 98  1  0
 0  0      0 13374152   2168 1526628    0    0     0   464 1437 2542  2  0 97  0  0
 0  0      0 13374152   2168 1526628    0    0     0  1720 1982 3380  2  1 96  2  0
 0  0      0 13374152   2168 1526628    0    0     0    60 1681 2870  1  0 99  1  0
 0  0      0 13374152   2168 1526628    0    0     0     0 1082 1943  1  0 99  0  0
 0  0      0 13374152   2168 1526632    0    0     0    16 1308 2372  0  0 99  1  0
 0  0      0 13374152   2168 1526632    0    0     0    24 1213 2140  1  0 99  0  0
 0  1      0 13374152   2168 1526632    0    0     0  5256 1373 2503  1  0 98  1  0
 0  0      0 13374152   2168 1526632    0    0     0  2016 1350 2426  1  0 98  1  0
 0  0      0 13370056   2168 1526632    0    0     0    36 1327 2333  1  0 99  0  0
 0  0      0 13370056   2168 1526632    0    0     0   248 1336 2326  0  1 98  1  0
 0  0      0 13370056   2168 1526632    0    0     0   544 1343 2264  2  0 98  1  0
 0  0      0 13370056   2168 1526632    0    0     0  1708 1848 3180  7  0 92  2  0
 0  0      0 13370056   2168 1526632    0    0     0    64 1328 2384  0  0 100  0  0
 0  0      0 13370056   2168 1526632    0    0     0    20 1318 2295  1  0 99  0  0
 0  0      0 13370056   2168 1526632    0    0     0    40 1366 2426  0  1 99  1  0
 0  0      0 13370056   2168 1526632    0    0     0     0 1037 1869  0  0 100  0  0
 0  1      0 13370056   2168 1526632    0    0     0    24 1306 2311  0  0 99  1  0
 0  0      0 13370056   2168 1526636    0    0     0    40 1281 2215  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13370056   2168 1526640    0    0     0    20 1135 2041  0  0 100  0  0
 1  1      0 13370056   2168 1526644    0    0     0   256 1336 2359  0  0 99  1  0
 0  0      0 13370056   2168 1526644    0    0     0   500 1933 3349  3  0 96  1  0
 0  0      0 13370056   2168 1526648    0    0     0  1668 1575 2793  2  0 97  1  0
 0  1      0 13370056   2168 1526648    0    0     0    20 1335 2372  1  0 99  0  0
