Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-35-124.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

17:19:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:19:53     all   12.24    0.00    0.51   10.20    0.00    0.00    0.00    0.00    0.00   77.04
17:19:54     all   37.10    0.00    8.06   16.13    0.00    0.54    0.00    0.00    0.00   38.17
17:19:55     all   10.20    0.00    1.02   10.20    0.00    0.00    0.00    0.00    0.00   78.57
17:19:56     all   14.05    0.00    1.08   11.89    0.00    0.00    0.00    0.00    0.00   72.97
17:19:57     all   19.00    0.00    3.00   13.00    0.00    0.00    0.00    0.00    0.00   65.00
17:19:58     all    7.81    0.00    2.08    7.29    0.00    0.00    0.00    0.00    0.00   82.81
17:19:59     all   19.05    0.00    4.29   10.48    0.00    0.48    0.00    0.00    0.00   65.71
17:20:00     all   18.59    0.00    3.52   11.56    0.00    0.50    0.00    0.00    0.00   65.83
17:20:01     all   16.58    0.00    3.02    9.05    0.00    0.00    0.00    0.00    0.00   71.36
17:20:02     all    9.64    0.00    4.06    7.61    0.00    0.51    0.00    0.00    0.00   78.17
17:20:03     all   18.41    0.00    3.48   11.44    0.00    0.00    0.00    0.00    0.00   66.67
17:20:04     all    9.24    0.00    0.54    9.24    0.00    0.54    0.00    0.00    0.00   80.43
17:20:05     all    9.52    0.00    1.59    7.94    0.00    0.00    0.00    0.00    0.00   80.95
17:20:06     all   20.20    0.00    2.02   12.12    0.00    1.52    0.00    0.00    0.00   64.14
17:20:07     all   45.15    0.00    4.85   10.68    0.00    0.00    0.00    0.00    0.00   39.32
17:20:08     all   18.13    0.00    0.52   10.36    0.00    1.04    0.00    0.00    0.00   69.95
17:20:09     all   14.66    0.00    1.57   10.99    0.00    0.00    0.00    0.00    0.00   72.77
17:20:10     all   12.78    0.00    1.67   13.89    0.00    0.00    0.00    0.00    0.00   71.67
17:20:11     all   15.61    0.00    2.93    7.32    0.00    0.49    0.00    0.00    0.00   73.66
17:20:12     all   14.95    0.00    2.58   10.82    0.00    0.00    0.00    0.00    0.00   71.65
17:20:13     all   11.05    0.00    1.66   13.81    0.00    0.00    0.00    0.00    0.00   73.48
17:20:14     all   14.14    0.00    1.52    9.09    0.00    0.00    0.00    0.00    0.00   75.25
17:20:15     all   12.57    0.00    1.05    8.90    0.00    0.00    0.00    0.00    0.00   77.49
17:20:16     all   23.04    0.00    2.45   11.76    0.00    0.49    0.00    0.00    0.00   62.25
17:20:17     all   10.77    0.00    3.59    9.74    0.00    1.03    0.00    0.00    0.00   74.87
17:20:18     all   11.56    0.00    3.52    8.54    0.00    0.00    0.00    0.00    0.00   76.38
17:20:19     all   16.84    0.00    3.16   13.16    0.00    1.05    0.00    0.00    0.00   65.79
17:20:20     all   15.08    0.00    4.02   13.57    0.00    0.00    0.00    0.00    0.00   67.34
17:20:21     all   10.20    0.00    0.51    8.67    0.00    1.02    0.00    0.00    0.00   79.59
17:20:22     all   17.33    0.00    3.96   11.88    0.00    0.50    0.00    0.00    0.00   66.34
17:20:23     all   15.18    0.00    2.09   13.09    0.00    0.00    0.00    0.00    0.00   69.63
17:20:24     all    3.76    0.00    1.61    9.14    0.00    0.54    0.00    0.00    0.00   84.95
17:20:25     all   17.73    0.00    2.96   10.84    0.00    0.00    0.00    0.00    0.00   68.47
17:20:26     all   20.21    0.00    3.11   12.95    0.00    0.52    0.00    0.00    0.00   63.21
17:20:27     all    9.64    0.00    4.06    9.64    0.00    1.02    0.00    0.00    0.00   75.63
17:20:28     all   11.40    0.00    4.15    9.84    0.00    0.00    0.00    0.00    0.00   74.61
17:20:29     all   21.40    0.00    5.12   10.70    0.00    0.47    0.00    0.00    0.00   62.33
17:20:30     all    8.02    0.00    1.60    9.09    0.00    0.00    0.00    0.00    0.00   81.28
17:20:31     all    5.24    0.00    0.52    5.24    0.00    0.00    0.00    0.00    0.00   89.01
17:20:32     all   11.82    0.00    1.97    7.39    0.00    0.49    0.00    0.00    0.00   78.33
17:20:33     all   11.79    0.00    2.56    9.23    0.00    0.00    0.00    0.00    0.00   76.41
